benchmark,mode,platform,iteration,value_cycles,value_ns
quicksort,interp,thumbv8,7,38491234,256608226
quicksort,interp,thumbv8,8,38493389,256622593
quicksort,interp,thumbv8,9,38494227,256628180
quicksort,interp,thumbv8,10,38492129,256614193
quicksort,interp,thumbv8,11,38493656,256624373
quicksort,interp,thumbv8,12,38493022,256620146
quicksort,interp,thumbv8,13,38492823,256618820
quicksort,interp,thumbv8,14,38492690,256617933
quicksort,interp,thumbv8,15,38493893,256625953
quicksort,interp,thumbv8,16,38492165,256614433
quicksort,interp,thumbv8,17,38492603,256617353
quicksort,interp,thumbv8,18,38491075,256607166
quicksort,interp,thumbv8,19,38492066,256613773
matrix_multiplication,interp,thumbv8,0,104975670,699837800
matrix_multiplication,interp,thumbv8,1,104965957,699773046
matrix_multiplication,interp,thumbv8,2,104965552,699770346
matrix_multiplication,interp,thumbv8,3,104964282,699761880
matrix_multiplication,interp,thumbv8,4,104964959,699766393
matrix_multiplication,interp,thumbv8,5,104964113,699760753
matrix_multiplication,interp,thumbv8,6,104964741,699764940
matrix_multiplication,interp,thumbv8,7,104964323,699762153
matrix_multiplication,interp,thumbv8,8,104964238,699761586
matrix_multiplication,interp,thumbv8,9,104964710,699764733
matrix_multiplication,interp,thumbv8,10,104964062,699760413
matrix_multiplication,interp,thumbv8,11,104964837,699765580
matrix_multiplication,interp,thumbv8,12,104964931,699766206
matrix_multiplication,interp,thumbv8,13,104964655,699764366
matrix_multiplication,interp,thumbv8,14,104964755,699765033
matrix_multiplication,interp,thumbv8,15,104963886,699759240
matrix_multiplication,interp,thumbv8,16,104964630,699764200
matrix_multiplication,interp,thumbv8,17,104964712,699764746
matrix_multiplication,interp,thumbv8,18,104964668,699764453
matrix_multiplication,interp,thumbv8,19,104964697,699764646
fibonacci,interp,thumbv8,0,1052096484,7013976560
fibonacci,interp,thumbv8,1,1052067112,7013780746
fibonacci,interp,thumbv8,2,1052065235,7013768233
fibonacci,interp,thumbv8,3,1052065162,7013767746
fibonacci,interp,thumbv8,4,1052064930,7013766200
fibonacci,interp,thumbv8,5,1052064528,7013763520
fibonacci,interp,thumbv8,6,1052064157,7013761046
fibonacci,interp,thumbv8,7,1052065535,7013770233
fibonacci,interp,thumbv8,8,1052064587,7013763913
fibonacci,interp,thumbv8,9,1052065942,7013772946
fibonacci,interp,thumbv8,10,1052066134,7013774226
fibonacci,interp,thumbv8,11,1052066461,7013776406
fibonacci,interp,thumbv8,12,1052064923,7013766153
fibonacci,interp,thumbv8,13,1052064381,7013762540
fibonacci,interp,thumbv8,14,1052064738,7013764920
fibonacci,interp,thumbv8,15,1052065954,7013773026
fibonacci,interp,thumbv8,16,1052065489,7013769926
fibonacci,interp,thumbv8,17,1052065496,7013769973
fibonacci,interp,thumbv8,18,1052063794,7013758626
fibonacci,interp,thumbv8,19,1052064346,7013762306
